"Year","Quarter","Month","Group","Unit","Population","Deflator","Total Disposable Income (nominal $)","Total Factor Income (nominal $)","Total Posttax Income (nominal $)","Total Pretax Income (nominal $)","Disposable Income Per Unit (nominal $)","Factor Income Per Unit (nominal $)","Posttax Income Per Unit (nominal $)","Pretax Income Per Unit (nominal $)","Disposable Income Share","Factor Income Share","Posttax Income Share","Pretax Income Share"
"1979","1","3","Top 1%","Adults","1520077.006749346","0.30948737","141524105198.5932","228343706968.024","176360232354.1993","230087365762.5536","93103.2471185389","150218.5125846567","116020.5907800304","151365.5984143796","0.0837248332","0.1041441769","0.0804352853","0.104939434"
"1979","2","4","Top 1%","Adults","1522752.3492398658","0.31237698","142509493130.2398","229753928594.7025","177255008932.1426","231443598372.7793","93586.7826448459","150880.6922605584","116404.3575573044","151990.3078713438","0.0841056475","0.1046779363","0.0807589606","0.1054477648"
"1979","2","5","Top 1%","Adults","1525375.4304398252","0.31530288","143383183380.5285","231972296605.5628","178862044539.40198","233894315185.9024","93998.6186477289","152075.5428312335","117257.7196210831","153335.572684858","0.0842195802","0.1048958482","0.0808798553","0.1057649682"
"1979","2","6","Top 1%","Adults","1527977.58788603","0.31761482","143982710347.3853","234095814448.8956","180552961867.4347","236196870007.2163","94230.9046211775","153206.3142187636","118164.6663530132","154581.3707477193","0.084176478","0.1049171896","0.0809203248","0.105858842"
"1979","3","7","Top 1%","Adults","1530543.476088897","0.31977773","145362490567.7927","236021677616.596","181183770134.9435","237524161871.8654","94974.4276060994","154207.7577696247","118378.7151201577","155189.4249216802","0.0836697811","0.1050226465","0.0806214045","0.1056912071"
"1979","3","8","Top 1%","Adults","1531761.3910030092","0.321879","147302335233.738","238812403581.3246","183523308598.1332","240327272742.8794","96165.3271187905","155907.0524848184","119811.9430846607","156896.0245077801","0.084119382","0.1054203593","0.0810137706","0.106089077"
"1979","3","9","Top 1%","Adults","1534579.9717180901","0.32428324","148522289772.7913","240715125764.4832","185253505853.1701","242326015388.9907","96783.6753444059","156860.5939089525","120719.3559588578","157910.3206447342","0.0842734429","0.1054715131","0.081170502","0.1061773392"
"1979","4","10","Top 1%","Adults","1539919.837027123","0.32639751","149770440088.0905","242093788311.0648","186547265429.2651","243781736445.2509","97258.5952118315","157211.9421348819","121140.8937944472","158308.0694095618","0.084474896","0.1055505865","0.0813328317","0.1062865159"
"1979","4","11","Top 1%","Adults","1540530.6483686299","0.32788372","150408924416.3899","243901181555.7658","187618558843.632","245631247959.5213","97634.4901516032","158322.8362344163","121788.2675961778","159445.8690060055","0.0842652297","0.1055511623","0.0811941819","0.1062998699"
"1979","4","12","Top 1%","Adults","1543118.5638553211","0.32959396","150416708947.0165","245905205176.9994","188252781781.2643","247742944393.7067","97475.7951010686","159356.0021484226","121995.0211155093","160546.9276286501","0.0837050811","0.1055601885","0.0808116236","0.1063490781"
"1980","1","1","Top 1%","Adults","1545724.9334991619","0.3317261","150754061690.2786","247447813747.5919","188045447340.7041","249281547228.82397","97529.6823018869","160085.283212342","121655.1815043916","161271.6090853943","0.0830703099","0.1055201781","0.0801889859","0.1063021447"
"1980","1","2","Top 1%","Adults","1548247.47","0.33450714","149125448278.6205","245877844241.1199","186099325549.5208","247744456621.8593","96318.8709609973","158810.4285687093","120199.9868596723","160016.0577829714","0.0819001566","0.1045680647","0.0791451809","0.1053619067"
"1980","1","3","Top 1%","Adults","1550819.505211249","0.33831179","147862885642.4998","243931173195.2134","184573758047.0313","245806456260.8031","95344.9999472107","157291.7882290794","119016.9181047856","158501.0089406374","0.0808548452","0.1033719115","0.0782177275","0.1041666094"
"1980","2","4","Top 1%","Adults","1553394.5161293417","0.34031701","145946853671.5685","241485497689.6507","182165805155.3764","243236369547.2663","93953.5012877671","155456.6436164396","117269.5044715921","156583.7699449001","0.0799492602","0.1026106351","0.0774048514","0.1033546056"
"1980","2","5","Top 1%","Adults","1555892.5124768312","0.34303132","146431258489.3362","241421591962.3601","182150964060.4958","242986843317.3279","94113.993939229","155165.9835280267","117071.6888215684","156171.99862381","0.0801143858","0.102584641","0.0773994199","0.1032497464"
"1980","2","6","Top 1%","Adults","1558264.2576741732","0.34509388","147635090052.1987","242745317177.4125","183502094889.5165","244203285814.0252","94743.2948712789","155779.3012205312","117760.5749383017","156714.9375411569","0.0802637547","0.1024331149","0.0774337948","0.1030483453"
"1980","3","7","Top 1%","Adults","1560558.464693376","0.34749386","150844755973.2297","245675187061.7649","184806927512.5341","246022171431.8992","96660.7527920258","157427.7366853","118423.584693346","157650.0829658045","0.0801934948","0.1028543506","0.0773712521","0.1029996194"
"1980","3","8","Top 1%","Adults","1563780.1605770919","0.35029736","153866237716.9457","251104966231.0644","188747257450.4531","251577630693.9677","98393.7778441718","160575.6183390877","120699.3554521107","160877.8759548442","0.0809606147","0.1036526914","0.0779122831","0.1038478009"
"1980","3","9","Top 1%","Adults","1567837.991946035","0.35363674","158553091159.2895","257391657633.6992","193623066265.9646","257825310953.1118","101128.4915748788","164169.8051430805","123496.8582599758","164446.3983380664","0.0821946689","0.1047346762","0.0787867385","0.1049111334"
"1980","4","10","Top 1%","Adults","1569619.982922437","0.35676959","164832480642.4211","265520881725.9557","200807608494.9187","266077531996.3716","105014.2597799523","169162.52635341","127933.9016320625","169517.1665061045","0.0838851359","0.1058432042","0.0800468902","0.1060650989"
"1980","4","11","Top 1%","Adults","1569619.9866276092","0.35984272","168160903921.5654","270489885996.9932","205115414343.2054","271387985081.4338","107134.7876264406","172328.263083698","130678.3910059046","172900.4392104624","0.084621266","0.1062658155","0.0805825207","0.1066186467"
